Planet Name,Host Name,RA,DEC,Distance [pc],Distance Upper Unc [pc],Distance Lower Unc [pc]
WASP-47 b,WASP-47,331.203092,-12.019067,264.78,4.888,-4.716
K2-171 b,K2-171,332.3407712,-13.4288624,606.128,18.747,-17.673
Kepler-619 d,Kepler-619,290.8490899,48.4159782,900.678,16.3815,-16.3815
Kepler-33 e,Kepler-33,289.0775348,46.0051696,1209.16,22.195,-22.195
Kepler-1739 b,Kepler-1739,296.2320536,47.6788626,783.666,13.854,-13.388
Kepler-1315 c,Kepler-1315,295.8215678,46.0530562,480.869,5.724,-5.724
Kepler-49 c,Kepler-49,292.2945208,40.5918123,311.222,2.53,-2.49
OGLE-2018-BLG-0740L b,OGLE-2018-BLG-0740L,272.1769583,-29.8358056,3200.0,500.0,-500.0
Kepler-324 b,Kepler-324,286.4714473,49.6490933,501.574,3.681,-3.629
Kepler-761 b,Kepler-761,290.503599,44.1436249,830.707,12.6345,-12.6345
Kepler-347 b,Kepler-347,289.1995995,49.3056404,1298.88,28.87,-27.66
Kepler-119 b,Kepler-119,295.9463854,42.6588324,701.996,12.463,-12.044
Kepler-1091 b,Kepler-1091,299.7854426,43.6707235,914.299,19.236,-18.471
Kepler-1563 b,Kepler-1563,288.5735936,51.4727698,616.697,,
HD 125390 b,HD 125390,214.5387463,38.9669132,153.647,0.854,-0.854
Kepler-641 b,Kepler-641,291.8235292,42.5161945,969.918,15.6765,-15.6765
Kepler-1162 c,Kepler-1162,283.2920273,45.4339813,940.211,26.13,-24.779
Kepler-313 c,Kepler-313,298.2948708,48.7754,,,
Kepler-1423 b,Kepler-1423,288.2437481,41.1100655,,,
K2-289 b,K2-289,246.6429443,-15.7925384,274.3,2.093,-2.063
Kepler-12 b,Kepler-12,286.2434458,50.0403671,881.386,9.854,-9.643
Kepler-754 b,Kepler-754,293.2541121,37.8461519,1770.27,84.735,-84.735
Kepler-1992 b,Kepler-1992,295.0902409,45.0811045,532.955,4.041,-4.041
Kepler-1747 b,Kepler-1747,284.2096557,45.258082,1321.38,60.95,-55.89
TOI-4602.01,TOI-4602,60.6003316,31.3298354,63.0637,0.2,-0.1988
Kepler-186 e,Kepler-186,298.652736,43.9549884,177.594,0.774,-0.774
Kepler-1066 b,Kepler-1066,298.866621,46.5022325,344.251,2.536,-2.499
Kepler-896 c,Kepler-896,282.4391402,43.7344291,2334.93,179.875,-179.875
Kepler-62 d,Kepler-62,283.2125621,45.3496992,300.874,1.219,-1.219
Kepler-26 b,Kepler-26,284.9410627,46.5664505,335.307,3.0565,-3.0565
WD 1856+534 b,WD 1856+534,284.415675,53.5090244,24.7359,0.0435,-0.0433
Kepler-1505 b,Kepler-1505,292.0020614,41.7869639,495.148,8.332,-8.064
Kepler-1212 b,Kepler-1212,296.8534096,50.0373196,1316.57,37.695,-37.695
Kepler-534 c,Kepler-534,296.4185696,49.540148,570.659,11.599,-11.155
WASP-77 A b,WASP-77 A,37.1555223,-7.0606675,105.166,1.209,-1.182
Kepler-639 b,Kepler-639,292.1868271,41.726944,850.242,11.318,-11.029
K2-155 d,K2-155,65.469614,21.3532633,72.7998,0.2864,-0.2841
TOI-1259 A b,TOI-1259 A,282.1001665,79.2564761,118.106,0.375,-0.372
Kepler-1236 b,Kepler-1236,295.6247375,42.5458739,999.64,38.08,-35.429
Kepler-473 b,Kepler-473,286.6300796,38.9455907,905.937,12.339,-12.017
HAT-P-9 b,HAT-P-9,110.1685157,37.1405946,455.203,8.968,-8.635
WASP-61 b,WASP-61,75.2996637,-26.0541438,488.66,5.558,-5.436
Kepler-246 c,Kepler-246,296.4834007,42.6633806,626.078,9.056,-8.806
Kepler-26 d,Kepler-26,284.9410627,46.5664505,335.307,3.0565,-3.0565
HD 153557 b,HD 153557,254.4706516,47.3678558,17.9412,0.0084,-0.0084
HD 192699 b,HD 192699,304.0248392,4.5805708,71.8627,0.2667,-0.2667
WASP-47 b,WASP-47,331.203092,-12.019067,264.78,4.888,-4.716
Kepler-303 c,Kepler-303,283.1354742,43.6567036,209.738,0.9345,-0.9345
Kepler-1035 b,Kepler-1035,289.042243,42.8824991,562.116,20.407,-19.048
Kepler-887 c,Kepler-887,290.0907893,39.8169085,886.588,12.515,-12.177
Kepler-296 b,Kepler-296,286.5400278,49.4372614,,,
Kepler-80 b,Kepler-80,296.1125759,39.9787451,369.451,2.8945,-2.8945
Kepler-978 b,Kepler-978,286.7107166,43.0433585,682.522,,
Kepler-1767 b,Kepler-1767,293.6441248,46.9896696,820.506,19.941,-19.941
Kepler-1371 c,Kepler-1371,288.8314251,47.5519753,515.334,5.4865,-5.4865
Kepler-1811 b,Kepler-1811,289.9793241,40.1427848,1390.56,53.53,-49.77
Kepler-755 b,Kepler-755,296.8609348,41.0973178,399.034,2.6725,-2.6725
HD 106315 b,HD 106315,183.4724742,-0.3934357,109.353,0.691,-0.681
Kepler-793 b,Kepler-793,295.2167334,38.7744269,985.699,44.701,-41.046
Kepler-1928 b,Kepler-1928,290.4406294,38.5235721,326.362,2.473,-2.437
Kepler-636 b,Kepler-636,293.5920614,41.0950891,310.301,,
Kepler-253 b,Kepler-253,291.8419337,44.858124,838.595,20.317,-19.394
Kepler-510 b,Kepler-510,287.6550196,39.2441716,386.177,3.778,-3.707
Kepler-271 c,Kepler-271,283.0029316,44.284108,404.542,3.848,-3.777
55 Cnc e,55 Cnc,133.1468373,28.3298154,12.5855,0.0124,-0.0123
Kepler-1441 b,Kepler-1441,293.7191177,43.1245756,1110.48,22.555,-22.555
Kepler-1248 b,Kepler-1248,288.0592191,51.3544564,593.026,,
TOI-1807 b,TOI-1807,201.2826259,38.9223671,42.5775,0.0622,-0.062
K2-239 d,K2-239,160.5941265,4.4413751,31.0849,0.0831,-0.0826
HIP 8541 b,HIP 8541,27.5271962,-54.4651633,155.121,0.638,-0.634
WASP-47 d,WASP-47,331.203092,-12.019067,264.78,4.888,-4.716
Kepler-485 b,Kepler-485,294.9963415,50.4700458,1140.95,26.315,-26.315
Kepler-623 b,Kepler-623,296.9867284,47.4773531,737.702,15.079,-14.497
Kepler-1388 c,Kepler-1388,283.3360156,47.1744499,453.795,7.4825,-7.4825
Kepler-1726 b,Kepler-1726,284.3861498,45.7197342,390.552,2.066,-2.045
TOI-199 c,TOI-199,80.1058735,-59.8954326,102.27,0.191,-0.19
Kepler-908 b,Kepler-908,295.3225434,39.3764624,290.843,1.92,-1.896
HD 159868 c,HD 159868,264.7466665,-43.1462347,55.8503,0.1669,-0.166
Kepler-1613 b,Kepler-1613,289.8750066,43.4209318,1508.33,65.08,-60.0
Kepler-806 b,Kepler-806,296.0071956,44.8535698,361.896,2.925,-2.878
Kepler-1319 b,Kepler-1319,290.9564463,49.3667933,103.917,0.355,-0.353
KMT-2020-BLG-0414L c,KMT-2020-BLG-0414L,271.915,-28.4852222,690.0,130.0,-110.0
K2-83 b,K2-83,59.9013782,15.5587994,125.529,0.516,-0.512
HAT-P-12 b,HAT-P-12,209.3886452,43.49331,142.751,0.453,-0.45
Kepler-836 b,Kepler-836,287.4527659,45.7043964,980.035,21.455,-20.575
Kepler-104 d,Kepler-104,287.6046621,42.1665104,400.785,4.483,-4.386
2MASS J22362452+4751425 b,2MASS J22362452+4751425,339.1025931,47.861683,69.5737,0.1592,-0.1585
Kepler-247 b,Kepler-247,288.6425609,43.0393769,663.711,13.884,-13.336
Kepler-339 b,Kepler-339,293.351701,48.4445922,616.637,9.3395,-9.3395
Kepler-1625 b,Kepler-1625,295.429322,39.8865068,2310.11,213.09,-180.49
Kepler-235 c,Kepler-235,286.0790779,39.278237,428.018,6.695,-6.495
Kepler-79 d,Kepler-79,300.5171067,44.3815508,1020.72,17.075,-17.075
Kepler-598 c,Kepler-598,293.1234493,40.9348005,681.086,10.813,-10.813
HD 15337 b,HD 15337,36.8678846,-27.6361171,44.8155,0.0707,-0.0704
Kepler-273 b,Kepler-273,291.3021458,47.6976573,713.964,11.293,-10.952
Kepler-518 b,Kepler-518,287.090019,41.3737576,337.901,2.922,-2.874
Kepler-11 g,Kepler-11,297.1150949,41.9091092,646.346,6.375,-6.375
K2-36 c,K2-36,169.4490102,3.8665038,109.749,0.615,-0.609
Kepler-254 d,Kepler-254,288.1646541,45.8164257,1389.48,75.41,-68.16
Kepler-1083 b,Kepler-1083,283.1618831,45.198336,902.633,24.999,-23.709
Kepler-710 b,Kepler-710,291.9641255,42.6961308,1448.34,43.61,-43.61
Kepler-1217 b,Kepler-1217,289.1866841,50.9375614,1347.71,60.63,-55.71
Kepler-792 b,Kepler-792,292.0068239,38.8207001,1425.47,54.065,-54.065
HATS-35 b,HATS-35,296.688442,-63.5656488,514.555,10.199,-9.817
Kepler-236 b,Kepler-236,283.8664285,39.8981928,288.763,2.265,-2.265
HAT-P-26 b,HAT-P-26,213.1565508,4.0594175,141.837,1.152,-1.133
Kepler-130 b,Kepler-130,288.4505905,40.2452006,316.663,2.353,-2.319
Kepler-341 d,Kepler-341,289.8615609,43.4727412,1047.03,20.51,-19.76
HD 62549 b,HD 62549,116.0821439,-5.0541223,49.3305,0.1192,-0.1186
Kepler-1356 b,Kepler-1356,290.9953825,43.2438792,845.228,23.535,-22.315
Kepler-1075 b,Kepler-1075,287.5011404,47.4691157,291.275,4.987,-4.824
Kepler-589 b,Kepler-589,280.6414331,47.7520581,612.803,7.885,-7.692
Kepler-631 b,Kepler-631,296.885724,40.2281717,761.966,10.7895,-10.7895
Kepler-1896 b,Kepler-1896,289.6785786,40.2496475,1732.91,100.03,-89.87
Kepler-411 d,Kepler-411,287.6057027,49.5233937,153.676,0.455,-0.453
Kepler-450 d,Kepler-450,295.4865821,51.0135237,455.982,5.189,-5.074
Kepler-775 b,Kepler-775,291.4332781,41.7033162,398.676,2.143,-2.12
Kepler-130 b,Kepler-130,288.4505905,40.2452006,316.663,2.353,-2.319
Kepler-368 c,Kepler-368,291.880018,45.3878419,770.978,13.886,-13.411
Kepler-1362 b,Kepler-1362,288.5385574,40.8771276,731.298,17.829,-17.014
Kepler-273 c,Kepler-273,291.3021458,47.6976573,713.964,11.293,-10.952
Kepler-790 b,Kepler-790,286.9171489,38.8722123,703.168,11.302,-10.955
Kepler-732 b,Kepler-732,283.7317274,45.9585288,174.826,0.859,-0.85
HATS-26 b,HATS-26,144.9268593,-28.5856004,861.843,25.218,-23.847
Kepler-1577 b,Kepler-1577,292.9552704,47.5730433,510.029,6.634,-6.469
Kepler-197 c,Kepler-197,295.2264739,50.5592348,330.575,2.344,-2.312
Kepler-186 b,Kepler-186,298.652736,43.9549884,177.594,0.774,-0.774
Kepler-1972 b,Kepler-1972,288.3953074,39.8725067,287.339,2.098,-2.068
Kepler-1426 b,Kepler-1426,292.5457096,49.4168981,1697.81,,
Qatar-8 b,Qatar-8,157.4123405,70.5270835,281.498,2.588,-2.543
HD 219134 h,HD 219134,348.3372026,57.1696255,6.53127,0.00384,-0.00385
HD 106252 b,HD 106252,183.3730583,10.0404302,38.185,0.079,-0.0787
HATS-62 b,HATS-62,312.4493079,-24.303506,523.067,10.426,-10.033
Kepler-148 c,Kepler-148,289.7861626,46.8588176,791.163,15.337,-14.776
KOI-12 b,KOI-12,297.4537402,41.0110188,399.398,4.396,-4.303
WASP-119 b,WASP-119,55.9336392,-65.19378,302.448,2.017,-1.991
Kepler-799 b,Kepler-799,287.1748966,44.8784754,,,
Kepler-187 c,Kepler-187,299.7964955,44.0892448,1143.0,33.31,-31.51
Kepler-950 b,Kepler-950,287.9565768,41.1302834,2161.6,199.49,-169.19
Kepler-940 b,Kepler-940,294.2413053,47.2759642,1260.78,59.01,-59.01
Kepler-101 b,Kepler-101,283.255507,48.3552474,927.981,14.7985,-14.7985
Kepler-765 b,Kepler-765,283.1846044,47.1557114,1076.28,18.01,-17.44
Kepler-1632 b,Kepler-1632,294.4948769,43.9135575,716.76,6.705,-6.585
HAT-P-66 b,HAT-P-66,150.5726262,53.9508237,935.456,24.361,-23.177
K2-32 d,K2-32,252.426008,-19.5430504,157.682,1.309,-1.288
Kepler-1158 b,Kepler-1158,292.2339048,41.5751832,1484.25,36.935,-36.935
Kepler-651 b,Kepler-651,287.3327284,46.2034366,509.408,3.5355,-3.5355
Kepler-890 b,Kepler-890,288.435718,43.7634712,1712.12,69.0,-63.94
TrES-2 b,TrES-2,286.8085258,49.3164211,215.32,1.05,-1.039
TOI-905 b,TOI-905,227.6586754,-71.3616316,158.649,0.725,-0.718
Kepler-603 b,Kepler-603,294.2809679,42.2909295,1539.63,96.82,-96.82
Kepler-1512 b,Kepler-1512,289.2744976,44.4704056,,,
Kepler-1374 b,Kepler-1374,291.3499783,45.1722521,1078.46,41.55,-38.63
Kepler-1955 b,Kepler-1955,299.5347603,40.4777528,449.351,5.668,-5.53
Kepler-423 b,Kepler-423,292.8557189,46.3911883,758.753,12.76,-12.76
Kepler-1162 c,Kepler-1162,283.2920273,45.4339813,940.211,26.13,-24.779
Kepler-291 c,Kepler-291,287.9163029,42.4372666,1786.48,115.5,-102.53
Kepler-441 b,Kepler-441,284.566954,49.0127077,268.003,1.8075,-1.8075
Kepler-164 c,Kepler-164,287.7808115,47.6298453,890.758,13.684,-13.284
UZ For c,UZ For,53.8694682,-25.7393857,,,
Kepler-10 b,Kepler-10,285.679298,50.2414842,185.506,0.811,-0.805
WASP-177 b,WASP-177,334.7969885,-1.8344301,176.818,2.428,-2.364
Kepler-223 b,Kepler-223,298.3183909,47.2794824,1859.71,111.045,-111.045
Kepler-671 b,Kepler-671,294.2657519,49.3140933,1168.26,43.81,-40.8
Kepler-1682 b,Kepler-1682,293.9835827,39.5728474,1159.85,46.04,-46.04
Kepler-1336 c,Kepler-1336,296.2776587,46.8998006,1126.64,22.84,-22.84
Kepler-181 b,Kepler-181,296.1512831,50.0957806,609.283,7.946,-7.946
Kepler-512 b,Kepler-512,298.2689217,48.9167391,467.375,4.888,-4.789
Kepler-128 b,Kepler-128,282.4922622,43.9802442,396.379,3.947,-3.872
Kepler-369 c,Kepler-369,293.6743322,47.9084727,,,
Kepler-80 c,Kepler-80,296.1125759,39.9787451,369.451,2.8945,-2.8945
Kepler-304 c,Kepler-304,294.4418031,40.5575408,434.684,5.295,-5.171
Kepler-1105 b,Kepler-1105,281.1117588,42.4549698,318.004,2.517,-2.479
K2-345 b,K2-345,132.7075876,21.7890367,162.408,0.893,-0.884
Kepler-445 b,Kepler-445,298.7363395,46.4991236,127.201,0.995,-0.995
XO-3 b,XO-3,65.4695814,57.8172095,213.053,2.724,-2.658
Kepler-1098 b,Kepler-1098,295.502673,43.2326992,1049.19,22.36,-21.46
Kepler-225 b,Kepler-225,292.1939846,47.4570808,561.101,12.701,-12.16
Kepler-26 b,Kepler-26,284.9410627,46.5664505,335.307,3.0565,-3.0565
Kepler-37 d,Kepler-37,284.0592503,44.5183733,63.9207,0.1196,-0.1191
KOI-351 c,KOI-351,284.4334642,49.3051239,848.254,10.8185,-10.8185
Kepler-111 c,Kepler-111,291.653163,44.6882613,657.223,6.014,-5.908
Kepler-1322 b,Kepler-1322,293.2045009,45.4353919,1350.32,70.33,-63.8
WASP-4 b,WASP-4,353.5629149,-42.0617794,267.206,3.771,-3.67
TOI-262 b,TOI-262,32.534687,-31.0706272,43.932,0.1174,-0.1168
OGLE-2014-BLG-0221L b,OGLE-2014-BLG-0221L,270.30375,-27.4267639,3680.0,1130.0,-1160.0
Kepler-886 b,Kepler-886,286.2717162,43.5952037,711.297,7.1515,-7.1515
CoRoT-21 b,CoRoT-21,101.0526207,-0.2991544,,,
WASP-82 b,WASP-82,72.6605916,1.8938365,275.664,3.122,-3.055
TOI-700 c,TOI-700,97.0957165,-65.5786149,31.1265,0.0206,-0.0206
Kepler-622 b,Kepler-622,284.4784454,40.9331723,284.761,1.676,-1.656
Kepler-657 b,Kepler-657,291.1973006,47.3077545,1691.88,79.05,-72.41
GJ 180 c,GJ 180,73.460097,-17.776194,11.9407,0.0045,-0.0045
Kepler-1983 b,Kepler-1983,297.042015,39.9121864,424.428,3.495,-3.439
Kepler-82 e,Kepler-82,292.8733696,42.9661583,904.326,22.0875,-22.0875
HD 164604 b,HD 164604,270.7787177,-28.5608343,39.3633,0.0963,-0.0959
Kepler-25 b,Kepler-25,286.6383905,39.4879038,243.249,1.414,-1.397
bet Pic b,bet Pic,86.8212337,-51.066148,19.7442,0.132,-0.1303
HAT-P-37 b,HAT-P-37,284.2960393,51.2691212,390.594,2.723,-2.686
Kepler-845 b,Kepler-845,290.9576363,49.2037262,431.051,3.275,-3.275
Kepler-1898 b,Kepler-1898,287.2058009,38.4981903,360.921,1.897,-1.878
WASP-74 b,WASP-74,304.538843,-1.0760033,149.216,1.149,-1.132
OGLE-2018-BLG-0506L b,OGLE-2018-BLG-0506L,267.6298333,-31.9240556,5600.0,1400.0,-1600.0
Kepler-933 b,Kepler-933,289.5685257,43.5385438,1017.2,29.37,-27.787
HD 3167 c,HD 3167,8.7401487,4.3807215,47.2899,0.1485,-0.1475
Kepler-172 e,Kepler-172,283.3684093,41.821839,828.592,18.482,-17.707
Kepler-271 c,Kepler-271,283.0029316,44.284108,404.542,3.848,-3.777
Kepler-377 b,Kepler-377,295.4220717,38.7356737,823.804,12.578,-12.211
Kepler-218 b,Kepler-218,295.4128785,46.2665801,656.38,6.355,-6.355
Kepler-52 d,Kepler-52,286.7380152,49.9757383,321.542,2.42,-2.383
Kepler-896 c,Kepler-896,282.4391402,43.7344291,2334.93,179.875,-179.875
TOI-329 b,TOI-329,351.3210955,-15.6346313,284.388,4.247,-4.125
Kepler-969 b,Kepler-969,288.3724989,47.9335642,390.354,2.572,-2.572
Kepler-757 b,Kepler-757,296.6804876,41.3865279,1068.68,36.7,-34.39
Kepler-1086 c,Kepler-1086,295.251187,45.8429537,466.084,7.178,-7.178
Kepler-326 d,Kepler-326,294.3255898,46.0022646,487.675,10.683,-10.683
Kepler-335 c,Kepler-335,296.0642944,45.4285986,1278.97,28.805,-28.805
Kepler-218 b,Kepler-218,295.4128785,46.2665801,656.38,6.355,-6.355
K2-113 b,K2-113,19.4493823,6.8688469,635.722,13.43,-13.43
Kepler-1416 b,Kepler-1416,298.6634624,43.8940593,949.59,16.9155,-16.9155
Kepler-381 d,Kepler-381,285.1828685,43.8310283,267.323,1.708,-1.687
Kepler-109 b,Kepler-109,290.3926795,40.2849074,474.861,5.349,-5.233
Kepler-462 b,Kepler-462,299.8211502,43.8142793,596.625,10.858,-10.484
55 Cnc e,55 Cnc,133.1468373,28.3298154,12.5855,0.0124,-0.0123
CoRoT-26 b,CoRoT-26,279.7504991,6.9697828,1045.18,,
Kepler-750 c,Kepler-750,289.0968274,44.004364,1296.02,33.645,-33.645
XO-4 b,XO-4,110.3880285,58.2681094,272.655,2.914,-2.855
Kepler-164 d,Kepler-164,287.7808115,47.6298453,890.758,13.684,-13.284
KELT-9 b,KELT-9,307.8598998,39.9389161,204.455,1.582,-1.558
MOA-2013-BLG-220L b,MOA-2013-BLG-220L,270.985417,-29.5447222,6500.0,,
Kepler-399 c,Kepler-399,299.5017242,40.6707669,740.537,,
55 Cnc e,55 Cnc,133.1468373,28.3298154,12.5855,0.0124,-0.0123
Kepler-1154 c,Kepler-1154,297.4771158,39.8772345,1460.1,44.73,-42.19
Kepler-1061 b,Kepler-1061,296.2300306,50.2752091,543.375,4.391,-4.323
K2-353 b,K2-353,201.6168564,-2.2819018,268.515,3.729,-3.629
Kepler-974 b,Kepler-974,285.0131082,40.2209547,134.311,0.447,-0.444
Kepler-661 b,Kepler-661,283.7107463,47.8631748,534.788,10.055,-9.697
WASP-3 b,WASP-3,278.6317411,35.6614312,231.161,1.648,-1.625
Kepler-1649 c,Kepler-1649,292.5029676,41.8299933,92.1913,0.5489,-0.5425
Kepler-1389 b,Kepler-1389,285.7174414,44.7583487,497.093,4.7,-4.7
TOI-2120 b,TOI-2120,23.507315,65.5139877,32.1755,0.0529,-0.0528
Kepler-1624 b,Kepler-1624,292.5798564,37.3762616,258.979,2.984,-2.918
HD 2685 b,HD 2685,7.3289156,-76.304032,196.852,0.777,-0.771
K2-75 c,K2-75,338.844896,-7.469895,561.93,15.381,-14.596
Kepler-245 d,Kepler-245,291.6389972,42.4363482,861.527,26.041,-24.582
K2-397 b,K2-397,79.9516586,21.2591617,199.354,1.598,-1.574
Kepler-107 c,Kepler-107,297.028162,48.2086019,525.997,5.697,-5.577
Kepler-1319 b,Kepler-1319,290.9564463,49.3667933,103.917,0.355,-0.353
Kepler-779 b,Kepler-779,285.6285208,44.3107855,283.155,2.6135,-2.6135
Kepler-102 c,Kepler-102,281.4824731,47.2078263,107.796,0.22,-0.219
